timestamp,open,high,low,close,volume,log_return,atr_14,close_zscore_50
2023-04-28 13:00:00,29206.1,29343.7,28870.0,29015.6,17264.666,-0.006543975178476138,197.82857142857134,-0.4251289146267321
2023-04-28 14:00:00,29015.6,29299.7,28981.9,29080.0,15124.843,0.002217036277394769,205.3357142857141,-0.24604065045005555
2023-04-28 15:00:00,29080.0,29170.0,28928.3,29138.9,8519.853,0.0020233985903345447,207.52142857142852,-0.0767825568444846
2023-04-28 16:00:00,29138.9,29292.4,29087.6,29258.9,7537.624,0.0041097496446911965,210.4142857142859,0.23639230438065092
2023-04-28 17:00:00,29258.9,29283.1,29133.0,29223.2,4108.021,-0.0012208865425293266,213.29285714285703,0.1820244497670134
2023-04-28 18:00:00,29223.2,29245.9,29102.1,29225.6,3554.233,8.212315740768293e-05,214.38571428571439,0.22305372836023626
2023-04-28 19:00:00,29225.6,29432.2,29225.6,29313.0,7780.028,0.0029860661150931766,221.0428571428573,0.47891619271932917
2023-04-28 20:00:00,29313.0,29390.8,29278.9,29327.5,2580.028,0.0004945387674226113,219.92142857142866,0.5508847419925746
2023-04-28 21:00:00,29327.5,29359.1,29288.2,29315.6,1396.4,-0.0004058448534725677,217.46428571428572,0.5035386963282261
2023-04-28 22:00:00,29315.6,29422.2,29308.8,29330.0,2418.558,0.0004910854450939802,200.27142857142877,0.518984819353289
2023-04-28 23:00:00,29330.0,29382.2,29254.4,29296.1,2259.744,-0.0011564816277492692,197.40000000000015,0.37766275481598177
2023-04-29 00:00:00,29296.1,29336.5,29175.0,29248.9,3527.361,-0.0016124352285065285,196.17142857142866,0.17181036012934103
2023-04-29 01:00:00,29248.9,29282.1,29207.4,29255.1,1605.259,0.00021195132036135785,192.62142857142862,0.145489076080721
2023-04-29 02:00:00,29255.1,29374.0,29254.1,29353.3,3091.294,0.003351058616017347,179.90000000000015,0.5370426540938216
2023-04-29 03:00:00,29353.3,29374.5,29313.6,29328.0,2101.012,-0.0008622849721332118,150.4142857142859,0.4006519958210597
2023-04-29 04:00:00,29328.0,29427.9,29318.9,29354.9,2687.097,0.0009167918383085476,135.50000000000026,0.49078166048436384
2023-04-29 05:00:00,29354.9,29416.7,29336.0,29341.5,1830.83,-0.0004565867832710681,124.00000000000026,0.4025114876380599
2023-04-29 06:00:00,29341.5,29364.0,29277.0,29309.0,2009.19,-0.0011082600600671572,115.58571428571433,0.239938276330784
2023-04-29 07:00:00,29309.0,29354.4,29278.3,29333.1,2195.439,0.0008219351406851491,110.30000000000031,0.32573961175722843
2023-04-29 08:00:00,29333.1,29337.6,29257.0,29292.2,2689.508,-0.0013953022546775676,105.78571428571429,0.10148864490969084
2023-04-29 09:00:00,29292.2,29299.8,29238.0,29286.4,1891.495,-0.00019802453520407245,95.44285714285694,0.03691074300859731
2023-04-29 10:00:00,29286.4,29296.4,29224.6,29253.5,1522.719,-0.0011240198040610913,92.57857142857158,-0.1590171173204646
2023-04-29 11:00:00,29253.5,29325.0,29226.1,29320.0,1933.521,0.0022706523793887927,94.57857142857185,0.14079100503344238
2023-04-29 12:00:00,29320.0,29324.5,29266.3,29266.3,1726.344,-0.0018331935977755848,90.63571428571466,-0.17400779659295917
2023-04-29 13:00:00,29266.3,29378.6,29260.8,29368.3,2885.801,0.0034791779219010706,89.92142857142893,0.34007637326996676
2023-04-29 14:00:00,29368.3,29381.7,29304.6,29316.6,2223.893,-0.0017619528490335273,83.89285714285766,-0.0033540898534012253
2023-04-29 15:00:00,29316.6,29330.2,29201.0,29261.0,2589.817,-0.0018983371355967395,87.78571428571506,-0.4079307339626364
